Interaction_number	Clip_name	Study_Site	Species	Dyad_name	Dyad-DSI	ID_1_ID_2_Rank_Difference	ID_1	ID-2	Begin Time - msec	End Time - msec	Duration - msec	Activity_type	ID-1_Activity_role	ID_2_Activity_role	Role_Reversal	ID_1_Gaze_orientation_R1	ID-2_Gaze_orientation_R1	Mutual_gaze	ID_1_Bout_number	ID_1_Sequence_number	ID_1_Combination_number	ID_1_Persistence	ID_1_Elaboration	ID_1_Goal_reached	ID_1_Gesture_R1	ID_1_Gesture_amplitude_R1	ID_1_Gest_Mod	ID_1_overlapping_Gesture_1_R1	ID_1_overlapping_Gesture_2_R1	ID_1_Body_signal_R1	ID_1_Vocalisation_R1	ID_1_Facial_Expression_R1	ID_1_Signal_function	ID_2_Behavioral_response_R1	ID_2_Body_part_R1	ID_2_Bout_number	ID_2_Sequence_number	ID_2_Combination_number	ID_2_Persistence	ID_2_Elaboration	ID_2_Goal_reached	ID-2_Gesture_R1	ID_2_Gesture _amplitude_R1	ID_2_Gest_Mod	ID_2_overlapping_Gesture_1_R1	ID_2_overlapping_Gesture_2_R1	ID_2_Body_signal_R1	ID-2_Vocalisation_R1	ID_2_Facial_expression_R1	ID_2_Signal_function	ID_1_Behavioral_response_R1	ID_1_Body_part_R1	Spatial_Distance_R1	Turn_taking
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	160	1480	1320					Partner																																						
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	160	3160	3000		Leader	Follower																																								
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	263	1222	959										1									Bipedal_present																								
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	267	1210	943								1	1	1				Out_arm	High	Silent_Visible						Sex_invitation																				1	
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	461	1014	553						Partner																																					
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	463	1014	551							1	1																																			
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	1429	1978	549									1		0	1		Beckoning_arm	Low	Silent_Visible						Follow_invitation																				2	
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	1587	1906	319					Partner																																						
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	1640	4105	2465																							Follow_partner																				
1	09.01.17_Example GApS coding1_Sex_KZ_KLN_R1	LYB	Bonobos	KLN@KZ	1.75	-0.71	KZ	KLN	2357	2681	324					Partner																																						
